Index,Name,Full_Name,Intensity,Space,Hemi,Region
1,RN_L,RN_L,1,MNI,L,subcortex
2,RN_R,RN_R,2,MNI,R,subcortex
3,SN_L,SN_L,3,MNI,L,subcortex
4,SN_R,SN_R,4,MNI,R,subcortex
5,STN_L,STN_L,5,MNI,L,subcortex
6,STN_R,STN_R,6,MNI,R,subcortex
7,Caud_L,Caud_L,7,MNI,L,subcortex
8,Caud_R,Caud_R,8,MNI,R,subcortex
9,Put_L,Put_L,9,MNI,L,subcortex
10,Put_R,Put_R,10,MNI,R,subcortex
11,GPe_L,GPe_L,11,MNI,L,subcortex
12,GPe_R,GPe_R,12,MNI,R,subcortex
13,Thalam_L,Thalam_L,15,MNI,L,subcortex
14,Thalam_R,Thalam_R,16,MNI,R,subcortex
15,Precentral_L,Precentral_L,2001,MNI,L,cortex
16,Precentral_R,Precentral_R,2002,MNI,R,cortex
17,Frontal_Sup_L,Frontal_Sup_L,2101,MNI,L,cortex
18,Frontal_Sup_R,Frontal_Sup_R,2102,MNI,R,cortex
19,Frontal_Sup_Orb_L,Frontal_Sup_Orb_L,2111,MNI,L,cortex
20,Frontal_Sup_Orb_R,Frontal_Sup_Orb_R,2112,MNI,R,cortex
21,Frontal_Mid_L,Frontal_Mid_L,2201,MNI,L,cortex
22,Frontal_Mid_R,Frontal_Mid_R,2202,MNI,R,cortex
23,Frontal_Mid_Orb_L,Frontal_Mid_Orb_L,2211,MNI,L,cortex
24,Frontal_Mid_Orb_R,Frontal_Mid_Orb_R,2212,MNI,R,cortex
25,Frontal_Inf_Oper_L,Frontal_Inf_Oper_L,2301,MNI,L,cortex
26,Frontal_Inf_Oper_R,Frontal_Inf_Oper_R,2302,MNI,R,cortex
27,Frontal_Inf_Tri_L,Frontal_Inf_Tri_L,2311,MNI,L,cortex
28,Frontal_Inf_Tri_R,Frontal_Inf_Tri_R,2312,MNI,R,cortex
29,Frontal_Inf_Orb_L,Frontal_Inf_Orb_L,2321,MNI,L,cortex
30,Frontal_Inf_Orb_R,Frontal_Inf_Orb_R,2322,MNI,R,cortex
31,Rolandic_Oper_L,Rolandic_Oper_L,2331,MNI,L,cortex
32,Rolandic_Oper_R,Rolandic_Oper_R,2332,MNI,R,cortex
33,Supp_Motor_Area_L,Supp_Motor_Area_L,2401,MNI,L,cortex
34,Supp_Motor_Area_R,Supp_Motor_Area_R,2402,MNI,R,cortex
35,Olfactory_L,Olfactory_L,2501,MNI,L,cortex
36,Olfactory_R,Olfactory_R,2502,MNI,R,cortex
37,Frontal_Sup_Medial_L,Frontal_Sup_Medial_L,2601,MNI,L,cortex
38,Frontal_Sup_Medial_R,Frontal_Sup_Medial_R,2602,MNI,R,cortex
39,Frontal_Med_Orb_L,Frontal_Med_Orb_L,2611,MNI,L,cortex
40,Frontal_Med_Orb_R,Frontal_Med_Orb_R,2612,MNI,R,cortex
41,Rectus_L,Rectus_L,2701,MNI,L,cortex
42,Rectus_R,Rectus_R,2702,MNI,R,cortex
43,Insula_L,Insula_L,3001,MNI,L,cortex
44,Insula_R,Insula_R,3002,MNI,R,cortex
45,Cingulum_Ant_L,Cingulum_Ant_L,4001,MNI,L,cortex
46,Cingulum_Ant_R,Cingulum_Ant_R,4002,MNI,R,cortex
47,Cingulum_Mid_L,Cingulum_Mid_L,4011,MNI,L,cortex
48,Cingulum_Mid_R,Cingulum_Mid_R,4012,MNI,R,cortex
49,Cingulum_Post_L,Cingulum_Post_L,4021,MNI,L,cortex
50,Cingulum_Post_R,Cingulum_Post_R,4022,MNI,R,cortex
51,ParaHippocampal_L,ParaHippocampal_L,4111,MNI,L,cortex
52,ParaHippocampal_R,ParaHippocampal_R,4112,MNI,R,cortex
53,Calcarine_L,Calcarine_L,5001,MNI,L,cortex
54,Calcarine_R,Calcarine_R,5002,MNI,R,cortex
55,Cuneus_L,Cuneus_L,5011,MNI,L,cortex
