Index,Name,Intensity,Space,Hemi
1,RN_L,1,MNI,L
2,RN_R,2,MNI,R
3,SN_L,3,MNI,L
4,SN_R,4,MNI,R
5,Caud_L,7,MNI,L
6,Caud_R,8,MNI,R
7,Put_L,9,MNI,L
8,Put_R,10,MNI,R
9,GPe_L,11,MNI,L
10,GPe_R,12,MNI,R
11,GPi_L,13,MNI,L
12,GPi_R,14,MNI,R
13,Thalam_L,15,MNI,L
14,Thalam_R,16,MNI,R
15,Precentral_L,2001,MNI,L
16,Precentral_R,2002,MNI,R
17,Frontal_Sup_L,2101,MNI,L
18,Frontal_Sup_R,2102,MNI,R
19,Frontal_Sup_Orb_L,2111,MNI,L
20,Frontal_Sup_Orb_R,2112,MNI,R
21,Frontal_Mid_L,2201,MNI,L
22,Frontal_Mid_R,2202,MNI,R
23,Frontal_Mid_Orb_L,2211,MNI,L
24,Frontal_Mid_Orb_R,2212,MNI,R
25,Frontal_Inf_Oper_L,2301,MNI,L
26,Frontal_Inf_Oper_R,2302,MNI,R
27,Frontal_Inf_Tri_L,2311,MNI,L
28,Frontal_Inf_Tri_R,2312,MNI,R
29,Frontal_Inf_Orb_L,2321,MNI,L
30,Frontal_Inf_Orb_R,2322,MNI,R
31,Rolandic_Oper_L,2331,MNI,L
32,Rolandic_Oper_R,2332,MNI,R
33,Supp_Motor_Area_L,2401,MNI,L
34,Supp_Motor_Area_R,2402,MNI,R
35,Olfactory_L,2501,MNI,L
36,Olfactory_R,2502,MNI,R
37,Frontal_Sup_Medial_L,2601,MNI,L
38,Frontal_Sup_Medial_R,2602,MNI,R
39,Frontal_Med_Orb_L,2611,MNI,L
40,Frontal_Med_Orb_R,2612,MNI,R
41,Rectus_L,2701,MNI,L
42,Rectus_R,2702,MNI,R
43,Insula_L,3001,MNI,L
44,Insula_R,3002,MNI,R
45,Cingulum_Ant_L,4001,MNI,L
46,Cingulum_Ant_R,4002,MNI,R
47,Cingulum_Mid_L,4011,MNI,L
48,Cingulum_Mid_R,4012,MNI,R
49,Cingulum_Post_L,4021,MNI,L
50,Cingulum_Post_R,4022,MNI,R
51,ParaHippocampal_L,4111,MNI,L
52,ParaHippocampal_R,4112,MNI,R
53,Calcarine_L,5001,MNI,L
54,Calcarine_R,5002,MNI,R
55,Cuneus_L,5011,MNI,L
56,Cuneus_R,5012,MNI,R
57,Lingual_L,5021,MNI,L
58,Lingual_R,5022,MNI,R
59,Occipital_Sup_L,5101,MNI,L
60,Occipital_Sup_R,5102,MNI,R
61,Occipital_Mid_L,5201,MNI,L
62,Occipital_Mid_R,5202,MNI,R
63,Occipital_Inf_L,5301,MNI,L
64,Occipital_Inf_R,5302,MNI,R
65,Fusiform_L,5401,MNI,L
66,Fusiform_R,5402,MNI,R
67,Postcentral_L,6001,MNI,L
68,Postcentral_R,6002,MNI,R
69,Parietal_Sup_L,6101,MNI,L
70,Parietal_Sup_R,6102,MNI,R
71,Parietal_Inf_L,6201,MNI,L
72,Parietal_Inf_R,6202,MNI,R
73,SupraMarginal_L,6211,MNI,L
74,SupraMarginal_R,6212,MNI,R
75,Angular_L,6221,MNI,L
76,Angular_R,6222,MNI,R
77,Precuneus_L,6301,MNI,L
78,Precuneus_R,6302,MNI,R
79,Paracentral_Lobule_L,6401,MNI,L
80,Paracentral_Lobule_R,6402,MNI,R
81,Heschl_L,8101,MNI,L
82,Heschl_R,8102,MNI,R
83,Temporal_Sup_L,8111,MNI,L
84,Temporal_Sup_R,8112,MNI,R
85,Temporal_Pole_Sup_L,8121,MNI,L
86,Temporal_Pole_Sup_R,8122,MNI,R
87,Temporal_Mid_L,8201,MNI,L
88,Temporal_Mid_R,8202,MNI,R
89,Temporal_Pole_Mid_L,8211,MNI,L
90,Temporal_Pole_Mid_R,8212,MNI,R
91,Temporal_Inf_L,8301,MNI,L
92,Temporal_Inf_R,8302,MNI,R
