Index,Name,Full_Name,Intensity,Space,Hemi,Region,R,A,S,
1,Precentral_L,Precentral_L,2001,MNI,L,cortex,-39,-6,51,
2,Precentral_R,Precentral_R,2002,MNI,R,cortex,41,-8,52,
3,Frontal_Sup_L,Frontal_Sup_L,2101,MNI,L,cortex,-18,35,42,
4,Frontal_Sup_R,Frontal_Sup_R,2102,MNI,R,cortex,22,31,44,
5,Frontal_Sup_Orb_L,Frontal_Sup_Orb_L,2111,MNI,L,cortex,-17,47,-13,
6,Frontal_Sup_Orb_R,Frontal_Sup_Orb_R,2112,MNI,R,cortex,18,48,-14,
7,Frontal_Mid_L,Frontal_Mid_L,2201,MNI,L,cortex,-33,33,35,
8,Frontal_Mid_R,Frontal_Mid_R,2202,MNI,R,cortex,38,33,34,
9,Frontal_Mid_Orb_L,Frontal_Mid_Orb_L,2211,MNI,L,cortex,-31,50,-10,
10,Frontal_Mid_Orb_R,Frontal_Mid_Orb_R,2212,MNI,R,cortex,33,53,-11,
11,Frontal_Inf_Oper_L,Frontal_Inf_Oper_L,2301,MNI,L,cortex,-48,13,19,
12,Frontal_Inf_Oper_R,Frontal_Inf_Oper_R,2302,MNI,R,cortex,50,15,21,
13,Frontal_Inf_Tri_L,Frontal_Inf_Tri_L,2311,MNI,L,cortex,-46,30,14,
14,Frontal_Inf_Tri_R,Frontal_Inf_Tri_R,2312,MNI,R,cortex,50,30,14,
15,Frontal_Inf_Orb_L,Frontal_Inf_Orb_L,2321,MNI,L,cortex,-36,31,-12,
16,Frontal_Inf_Orb_R,Frontal_Inf_Orb_R,2322,MNI,R,cortex,41,32,-12,
17,Rolandic_Oper_L,Rolandic_Oper_L,2331,MNI,L,cortex,-47,-8,14,
18,Rolandic_Oper_R,Rolandic_Oper_R,2332,MNI,R,cortex,53,-6,15,
19,Supp_Motor_Area_L,Supp_Motor_Area_L,2401,MNI,L,cortex,-5,5,61,
20,Supp_Motor_Area_R,Supp_Motor_Area_R,2402,MNI,R,cortex,9,0,62,
21,Olfactory_L,Olfactory_L,2501,MNI,L,cortex,-8,15,-11,
22,Olfactory_R,Olfactory_R,2502,MNI,R,cortex,10,16,-11,
23,Frontal_Sup_Medial_L,Frontal_Sup_Medial_L,2601,MNI,L,cortex,-5,49,31,
24,Frontal_Sup_Medial_R,Frontal_Sup_Medial_R,2602,MNI,R,cortex,9,51,30,
25,Frontal_Med_Orb_L,Frontal_Med_Orb_L,2611,MNI,L,cortex,-5,54,-7,
26,Frontal_Med_Orb_R,Frontal_Med_Orb_R,2612,MNI,R,cortex,8,52,-7,
27,Rectus_L,Rectus_L,2701,MNI,L,cortex,-5,37,-18,
28,Rectus_R,Rectus_R,2702,MNI,R,cortex,8,36,-18,
29,Insula_L,Insula_L,3001,MNI,L,cortex,-35,7,3,
30,Insula_R,Insula_R,3002,MNI,R,cortex,39,6,2,
31,Cingulum_Ant_L,Cingulum_Ant_L,4001,MNI,L,cortex,-4,35,14,
32,Cingulum_Ant_R,Cingulum_Ant_R,4002,MNI,R,cortex,8,37,16,
33,Cingulum_Mid_L,Cingulum_Mid_L,4011,MNI,L,cortex,-5,-15,42,
34,Cingulum_Mid_R,Cingulum_Mid_R,4012,MNI,R,cortex,8,-9,40,
35,Cingulum_Post_L,Cingulum_Post_L,4021,MNI,L,cortex,-5,-43,25,
36,Cingulum_Post_R,Cingulum_Post_R,4022,MNI,R,cortex,7,-42,22,
37,Hippocampus_L,Hippocampus_L,4101,MNI,L,cortex,-25,-21,-10,
38,Hippocampus_R,Hippocampus_R,4102,MNI,R,cortex,29,-20,-10,
39,ParaHippocampal_L,ParaHippocampal_L,4111,MNI,L,cortex,-21,-16,-21,
40,ParaHippocampal_R,ParaHippocampal_R,4112,MNI,R,cortex,25,-15,-20,
41,Amygdala_L,Amygdala_L,4201,MNI,L,cortex,-23,-1,-17,
42,Amygdala_R,Amygdala_R,4202,MNI,R,cortex,27,1,-18,
43,Calcarine_L,Calcarine_L,5001,MNI,L,cortex,-7,-79,6,
44,Calcarine_R,Calcarine_R,5002,MNI,R,cortex,16,-73,9,
45,Cuneus_L,Cuneus_L,5011,MNI,L,cortex,-6,-80,27,
46,Cuneus_R,Cuneus_R,5012,MNI,R,cortex,14,-79,28,
47,Lingual_L,Lingual_L,5021,MNI,L,cortex,-15,-68,-5,
48,Lingual_R,Lingual_R,5022,MNI,R,cortex,16,-67,-4,
49,Occipital_Sup_L,Occipital_Sup_L,5101,MNI,L,cortex,-17,-84,28,
50,Occipital_Sup_R,Occipital_Sup_R,5102,MNI,R,cortex,24,-81,31,
51,Occipital_Mid_L,Occipital_Mid_L,5201,MNI,L,cortex,-32,-81,16,
52,Occipital_Mid_R,Occipital_Mid_R,5202,MNI,R,cortex,37,-80,19,
53,Occipital_Inf_L,Occipital_Inf_L,5301,MNI,L,cortex,-36,-78,-8,
54,Occipital_Inf_R,Occipital_Inf_R,5302,MNI,R,cortex,38,-82,-8,
55,Fusiform_L,Fusiform_L,5401,MNI,L,cortex,-31,-40,-20,
56,Fusiform_R,Fusiform_R,5402,MNI,R,cortex,34,-39,-20,
57,Postcentral_L,Postcentral_L,6001,MNI,L,cortex,-42,-23,49,
58,Postcentral_R,Postcentral_R,6002,MNI,R,cortex,41,-25,53,
59,Parietal_Sup_L,Parietal_Sup_L,6101,MNI,L,cortex,-23,-60,59,
60,Parietal_Sup_R,Parietal_Sup_R,6102,MNI,R,cortex,26,-59,62,
61,Parietal_Inf_L,Parietal_Inf_L,6201,MNI,L,cortex,-43,-46,47,
62,Parietal_Inf_R,Parietal_Inf_R,6202,MNI,R,cortex,46,-46,50,
63,SupraMarginal_L,SupraMarginal_L,6211,MNI,L,cortex,-56,-34,30,
64,SupraMarginal_R,SupraMarginal_R,6212,MNI,R,cortex,58,-32,34,
65,Angular_L,Angular_L,6221,MNI,L,cortex,-44,-61,36,
66,Angular_R,Angular_R,6222,MNI,R,cortex,46,-60,39,
67,Precuneus_L,Precuneus_L,6301,MNI,L,cortex,-7,-56,48,
68,Precuneus_R,Precuneus_R,6302,MNI,R,cortex,10,-56,44,
69,Paracentral_Lobule_L,Paracentral_Lobule_L,6401,MNI,L,cortex,-8,-25,70,
70,Paracentral_Lobule_R,Paracentral_Lobule_R,6402,MNI,R,cortex,7,-32,68,
71,Caudate_L,Caudate_L,7001,MNI,L,subcortex,-11,11,9,
72,Caudate_R,Caudate_R,7002,MNI,R,subcortex,15,12,9,
73,Putamen_L,Putamen_L,7011,MNI,L,subcortex,-24,4,2,
74,Putamen_R,Putamen_R,7012,MNI,R,subcortex,28,5,2,
75,Pallidum_L,Pallidum_L,7021,MNI,L,subcortex,-18,0,0,
76,Pallidum_R,Pallidum_R,7022,MNI,R,subcortex,21,0,0,
77,Thalamus_L,Thalamus_L,7101,MNI,L,subcortex,-11,-18,8,
78,Thalamus_R,Thalamus_R,7102,MNI,R,subcortex,13,-18,8,
79,Heschl_L,Heschl_L,8101,MNI,L,cortex,-42,-19,10,
80,Heschl_R,Heschl_R,8102,MNI,R,cortex,46,-17,10,
81,Temporal_Sup_L,Temporal_Sup_L,8111,MNI,L,cortex,-53,-21,7,
82,Temporal_Sup_R,Temporal_Sup_R,8112,MNI,R,cortex,58,-22,7,
83,Temporal_Pole_Sup_L,Temporal_Pole_Sup_L,8121,MNI,L,cortex,-40,15,-20,
84,Temporal_Pole_Sup_R,Temporal_Pole_Sup_R,8122,MNI,R,cortex,48,15,-17,
85,Temporal_Mid_L,Temporal_Mid_L,8201,MNI,L,cortex,-56,-34,-2,
86,Temporal_Mid_R,Temporal_Mid_R,8202,MNI,R,cortex,57,-37,-1,
87,Temporal_Pole_Mid_L,Temporal_Pole_Mid_L,8211,MNI,L,cortex,-36,15,-34,
88,Temporal_Pole_Mid_R,Temporal_Pole_Mid_R,8212,MNI,R,cortex,44,15,-32,
89,Temporal_Inf_L,Temporal_Inf_L,8301,MNI,L,cortex,-50,-28,-23,
90,Temporal_Inf_R,Temporal_Inf_R,8302,MNI,R,cortex,54,-31,-22,
91,Cerebelum_Crus1_L,Cerebelum_Crus1_L,9001,MNI,L,cerebellum,-35,-67,-29,
92,Cerebelum_Crus1_R,Cerebelum_Crus1_R,9002,MNI,R,cerebellum,38,-67,-30,
93,Cerebelum_Crus2_L,Cerebelum_Crus2_L,9011,MNI,L,cerebellum,-28,-73,-38,
94,Cerebelum_Crus2_R,Cerebelum_Crus2_R,9012,MNI,R,cerebellum,33,-69,-40,
95,Cerebelum_3_L,Cerebelum_3_L,9021,MNI,L,cerebellum,-8,-37,-19,
96,Cerebelum_3_R,Cerebelum_3_R,9022,MNI,R,cerebellum,13,-34,-19,
97,Cerebelum_4_5_L,Cerebelum_4_5_L,9031,MNI,L,cerebellum,-14,-43,-17,
98,Cerebelum_4_5_R,Cerebelum_4_5_R,9032,MNI,R,cerebellum,18,-43,-18,
99,Cerebelum_6_L,Cerebelum_6_L,9041,MNI,L,cerebellum,-22,-59,-22,
100,Cerebelum_6_R,Cerebelum_6_R,9042,MNI,R,cerebellum,26,-58,-24,
101,Cerebelum_7b_L,Cerebelum_7b_L,9051,MNI,L,cerebellum,-31,-60,-45,
102,Cerebelum_7b_R,Cerebelum_7b_R,9052,MNI,R,cerebellum,34,-63,-48,
103,Cerebelum_8_L,Cerebelum_8_L,9061,MNI,L,cerebellum,-25,-55,-48,
104,Cerebelum_8_R,Cerebelum_8_R,9062,MNI,R,cerebellum,26,-56,-49,
105,Cerebelum_9_L,Cerebelum_9_L,9071,MNI,L,cerebellum,-10,-49,-46,
106,Cerebelum_9_R,Cerebelum_9_R,9072,MNI,R,cerebellum,10,-49,-46,
107,Cerebelum_10_L,Cerebelum_10_L,9081,MNI,L,cerebellum,-22,-34,-42,
108,Cerebelum_10_R,Cerebelum_10_R,9082,MNI,R,cerebellum,27,-34,-41,
109,Vermis_1_2,Vermis_1_2,9100,MNI,NULL,cerebellum,2,-39,-20,
110,Vermis_3,Vermis_3,9110,MNI,NULL,cerebellum,2,-40,-11,
111,Vermis_4_5,Vermis_4_5,9120,MNI,NULL,cerebellum,2,-52,-6,
112,Vermis_6,Vermis_6,9130,MNI,NULL,cerebellum,2,-67,-15,
113,Vermis_7,Vermis_7,9140,MNI,NULL,cerebellum,2,-72,-25,
114,Vermis_8,Vermis_8,9150,MNI,NULL,cerebellum,2,-64,-34,
115,Vermis_9,Vermis_9,9160,MNI,NULL,cerebellum,2,-55,-35,
116,Vermis_10,Vermis_10,9170,MNI,NULL,cerebellum,1,-46,-32,
