Index,Name,Full_Name
1,'L. sup. Frontal gyrus','Frontoparietal'
2,'R. sup. Frontal gyrus','Ventral Attention'
3,'L. sup. Frontal gyrus','DMN'
4,'R. sup. Frontal gyrus','Frontoparietal'
5,'L. sup. Frontal gyrus','DMN'
6,'R. sup. Frontal gyrus','DMN'
7,'L. sup. Frontal gyrus','Dorsal Attention'
8,'R. sup. Frontal gyrus','Dorsal Attention'
9,'L. sup. Frontal gyrus','Somatomotor'
10,'R. sup. Frontal gyrus','Somatomotor'
11,'L. sup. Frontal gyrus','DMN'
12,'R. sup. Frontal gyrus','Frontoparietal'
13,'L. sup. Frontal gyrus','DMN'
14,'R. sup. Frontal gyrus','DMN'
15,'L. middle frontal gyrus','Ventral Attention'
16,'R. middle frontal gyrus','Frontoparietal'
17,'L. middle frontal gyrus','Frontoparietal'
18,'R. middle frontal gyrus','Frontoparietal'
19,'L. middle frontal gyrus','Frontoparietal'
20,'R. middle frontal gyrus','Frontoparietal'
21,'L. middle frontal gyrus','Frontoparietal'
22,'R. middle frontal gyrus','Frontoparietal'
23,'L. middle frontal gyrus','DMN'
24,'R. middle frontal gyrus','Frontoparietal'
25,'L. middle frontal gyrus','Dorsal Attention'
26,'R. middle frontal gyrus','Dorsal Attention'
27,'L. middle frontal gyrus','Limbic'
28,'R. middle frontal gyrus','Frontoparietal'
29,'L. inf. Frontal gyrus','Frontoparietal'
30,'R. inf. Frontal gyrus','Dorsal Attention'
31,'L. inf. Frontal gyrus','Frontoparietal'
32,'R. inf. Frontal gyrus','Frontoparietal'
33,'L. inf. Frontal gyrus','DMN'
34,'R. inf. Frontal gyrus','DMN'
35,'L. inf. Frontal gyrus','DMN'
36,'R. inf. Frontal gyrus','Frontoparietal'
37,'L. inf. Frontal gyrus','Ventral Attention'
38,'R. inf. Frontal gyrus','Ventral Attention'
39,'L. inf. Frontal gyrus','Ventral Attention'
40,'R. inf. Frontal gyrus','Ventral Attention'
41,'L. orbital gyrus','DMN'
42,'R. orbital gyrus','DMN'
43,'L. orbital gyrus','DMN'
44,'R. orbital gyrus','DMN'
45,'L. orbital gyrus','Limbic'
46,'R. orbital gyrus','Frontoparietal'
47,'L. orbital gyrus','Limbic'
48,'R. orbital gyrus','Limbic'
49,'L. orbital gyrus','Limbic'
50,'R. orbital gyrus','Limbic'
51,'L. orbital gyrus','DMN'
52,'R. orbital gyrus','DMN'
53,'L. precentral gyrus','Somatomotor'
54,'R. precentral gyrus','Somatomotor'
55,'L. precentral gyrus','Dorsal Attention'
56,'R. precentral gyrus','Dorsal Attention'
57,'L. precentral gyrus','Somatomotor'
58,'R. precentral gyrus','Somatomotor'
59,'L. precentral gyrus','Somatomotor'
60,'R. precentral gyrus','Somatomotor'
61,'L. precentral gyrus','Ventral Attention'
62,'R. precentral gyrus','Ventral Attention'
63,'L. precentral gyrus','Dorsal Attention'
64,'R. precentral gyrus','Dorsal Attention'
65,'L. paracentral lobule','Ventral Attention'
66,'R. paracentral lobule','Somatomotor'
67,'L. paracentral lobule','Somatomotor'
68,'R. paracentral lobule','Somatomotor'
69,'L. sup. Temporal gyrus','Limbic'
70,'R. sup. Temporal gyrus','Limbic'
71,'L. sup. Temporal gyrus','Somatomotor'
72,'R. sup. Temporal gyrus','Somatomotor'
73,'L. sup. Temporal gyrus','Somatomotor'
74,'R. sup. Temporal gyrus','Somatomotor'
75,'L. sup. Temporal gyrus','Somatomotor'
76,'R. sup. Temporal gyrus','Somatomotor'
77,'L. sup. Temporal gyrus','Limbic'
78,'R. sup. Temporal gyrus','Limbic'
79,'L. sup. Temporal gyrus','DMN'
80,'R. sup. Temporal gyrus','DMN'
81,'L. middle temporal gyrus','DMN'
82,'R. middle temporal gyrus','Frontoparietal'
83,'L. middle temporal gyrus','DMN'
84,'R. middle temporal gyrus','DMN'
85,'L. middle temporal gyrus','Dorsal Attention'
86,'R. middle temporal gyrus','Dorsal Attention'
87,"'L. middle temporal gyrus, anterior sup. Temporal sulcus'",'DMN'
88,"'R. middle temporal gyrus, anterior sup. Temporal sulcus'",'DMN'
89,'L. inf. Temporal gyrus','Limbic'
90,'R. inf. Temporal gyrus','Limbic'
91,'L. inf. Temporal gyrus','Dorsal Attention'
92,'R. inf. Temporal gyrus','Dorsal Attention'
93,'L. inf. Temporal gyrus','Limbic'
94,'R. inf. Temporal gyrus','Limbic'
95,'L. inf. Temporal gyrus','DMN'
96,'R. inf. Temporal gyrus','Limbic'
97,'L. inf. Temporal gyrus','Dorsal Attention'
98,'R. inf. Temporal gyrus','Dorsal Attention'
99,'L. inf. Temporal gyrus','Frontoparietal'
100,'R. inf. Temporal gyrus','Frontoparietal'
101,'L. inf. Temporal gyrus','Limbic'
102,'R. inf. Temporal gyrus','Limbic'
103,'L. fusiform gyrus','Limbic'
104,'R. fusiform gyrus','Limbic'
105,'L. fusiform gyrus','Visual'
106,'R. fusiform gyrus','Visual'
107,'L. fusiform gyrus','Dorsal Attention'
108,'R. fusiform gyrus','Visual'
109,'L. parahippocampal gyrus','Limbic'
110,'R. parahippocampal gyrus','Limbic'
111,'L. parahippocampal gyrus','DMN'
112,'R. parahippocampal gyrus','DMN'
113,'L. parahippocampal gyrus','DMN'
114,'R. parahippocampal gyrus','DMN'
115,"'L. parahippocampal gyrus, entorhinal cortex'",'Limbic'
116,"'R. parahippocampal gyrus, entorhinal cortex'",'Limbic'
117,'L. parahippocampal gyrus','Limbic'
118,'R. parahippocampal gyrus','Limbic'
119,'L. parahippocampal gyrus','DMN'
120,'R. parahippocampal gyrus','DMN'
121,'L. posterior sup. Temporal sulcus','DMN'
122,'R. posterior sup. Temporal sulcus','DMN'
123,'L. posterior sup. Temporal sulcus','Ventral Attention'
124,'R. posterior sup. Temporal sulcus','Ventral Attention'
125,'L. sup. Parietal lobule','Dorsal Attention'
126,'R. sup. Parietal lobule','Dorsal Attention'
127,'L. sup. Parietal lobule','Dorsal Attention'
128,'R. sup. Parietal lobule','Dorsal Attention'
129,'L. sup. Parietal lobule','Dorsal Attention'
130,'R. sup. Parietal lobule','Dorsal Attention'
131,'L. sup. Parietal lobule','Somatomotor'
132,'R. sup. Parietal lobule','Somatomotor'
133,'L. sup. Parietal lobule','Dorsal Attention'
134,'R. sup. Parietal lobule','Dorsal Attention'
135,'L. inf. Pareital lobule','Visual'
136,'R. inf. Pareital lobule','Visual'
137,'L. inf. Pareital lobule','Frontoparietal'
138,'R. inf. Pareital lobule','Frontoparietal'
139,'L. inf. Pareital lobule','Dorsal Attention'
140,'R. inf. Pareital lobule','Dorsal Attention'
141,'L. inf. Pareital lobule','DMN'
142,'R. inf. Pareital lobule','Frontoparietal'
143,'L. inf. Pareital lobule','Dorsal Attention'
144,'R. inf. Pareital lobule','DMN'
145,'L. inf. Pareital lobule','Somatomotor'
146,'R. inf. Pareital lobule','Somatomotor'
147,'L. Precuneus','Frontoparietal'
148,'R. Precuneus','Frontoparietal'
149,'L. Precuneus','Somatomotor'
150,'R. Precuneus','Dorsal Attention'
151,"'L. Precuneus, dorsomedial parietooccipital  sulcus'",'Visual'
152,"'R. Precuneus, dorsomedial parietooccipital  sulcus'",'Visual'
153,'L. Precuneus','DMN'
154,'R. Precuneus','DMN'
155,'L. postcental gyrus','Somatomotor'
156,'R. postcental gyrus','Somatomotor'
157,'L. postcental gyrus','Somatomotor'
158,'R. postcental gyrus','Somatomotor'
159,'L. postcental gyrus','Dorsal Attention'
160,'R. postcental gyrus','Somatomotor'
161,'L. postcental gyrus','Somatomotor'
162,'R. postcental gyrus','Somatomotor'
163,'L. insular gyrus','Somatomotor'
164,'R. insular gyrus','Somatomotor'
165,'L. insular gyrus','Frontoparietal'
166,'R. insular gyrus','Frontoparietal'
167,'L. insular gyrus','Ventral Attention'
168,'R. insular gyrus','Ventral Attention'
169,'L. insular gyrus','Ventral Attention'
170,'R. insular gyrus','Ventral Attention'
171,'L. insular gyrus','Somatomotor'
172,'R. insular gyrus','Somatomotor'
173,'L. insular gyrus','Ventral Attention'
174,'R. insular gyrus','Ventral Attention'
175,'L. cingulate gyrus','DMN'
176,'R. cingulate gyrus','DMN'
177,'L. cingulate gyrus','Frontoparietal'
178,'R. cingulate gyrus','Frontoparietal'
179,'L. cingulate gyrus','DMN'
180,'R. cingulate gyrus','Ventral Attention'
181,'L. cingulate gyrus','DMN'
182,'R. cingulate gyrus','Visual'
183,'L. cingulate gyrus','Ventral Attention'
184,'R. cingulate gyrus','Ventral Attention'
185,'L. cingulate gyrus','Ventral Attention'
186,'R. cingulate gyrus','Ventral Attention'
187,'L. cingulate gyrus','DMN'
188,'R. cingulate gyrus','DMN'
189,'L. medioventral occipital cortex','Visual'
190,'R. medioventral occipital cortex','Visual'
191,'L. medioventral occipital cortex','Visual'
192,'R. medioventral occipital cortex','Visual'
193,'L. medioventral occipital cortex','Visual'
194,'R. medioventral occipital cortex','Visual'
195,'L. medioventral occipital cortex','Visual'
196,'R. medioventral occipital cortex','Visual'
197,"'L. medioventral occipital cortex, vmParieto-ocipital sulcus'",'Visual'
198,"'R. medioventral occipital cortex, vmParieto-ocipital sulcus'",'Visual'
199,"'L. lateral occipital cortex, middle occipital gyrus'",'Visual'
200,"'R. lateral occipital cortex, middle occipital gyrus'",'Visual'
201,'L. lateral occipital cortex','Dorsal Attention'
202,'R. lateral occipital cortex','Visual'
203,'L. lateral occipital cortex','Visual'
204,'R. lateral occipital cortex','Visual'
205,'L. lateral occipital cortex','Visual'
206,'R. lateral occipital cortex','Visual'
207,'L. lateral occipital cortex','Visual'
208,'R. lateral occipital cortex','Visual'
209,'L. lateral occipital cortex','Visual'
210,'R. lateral occipital cortex','Visual'
211,"'L. amygdala, medial amygdala'",'SC'
212,"'R. amygdala, medial amygdala'",'SC'
213,"'L. amygdala, lateral amygdala'",'SC'
214,"'R. amygdala, lateral amydala'",'SC'
215,"'L. hippocampus, rostral hipp.'",'DMN'
216,"'R. hippocampus, rostral hipp.'",'DMN'
217,"'L. hippocampus, caudal hipp.'",'DMN'
218,"'R. hippocampus, caudal hipp.'",'DMN'
219,"'L. basal ganglia, ventral caudate'",'SC'
220,"'R. basal ganglia, ventral caudate'",'SC'
221,"'L. basal ganglia, globus pallidus'",'SC'
222,"'R. basal ganglia, globus pallidus'",'SC'
223,"'L. basal ganglia, nucleus accumbens'",'SC'
224,"'R. basal ganglia, nucleus accumbens'",'SC'
225,"'L. basal ganglia, vmPutamen'",'SC'
226,"'R. basal ganglia, vmPutamen'",'SC'
227,"'L. basal ganglia, dorsal caudate'",'SC'
228,"'R. basal ganglia, dorsal caudate'",'SC'
229,"'L. basal ganglia, dlPutamen'",'SC'
230,"'R. basal ganglia, dlPutamen'",'SC'
231,'L. medial pre-frontal thalamus','SC'
232,'R. medial pre-frontal thalamus','SC'
233,'L. pre-motor thalamus','SC'
234,'R. pre-motor thalamus','SC'
235,'L. sensory thalamus','SC'
236,'R. sensory thalamus','SC'
237,'L. rostral temporal thalamus','SC'
238,'R. rostral temporal thalamus','SC'
239,'L. posterior parietal thalamus','SC'
240,'R. posterior parietal thalamus','SC'
241,'L. occipital thalamus','SC'
242,'R. occipital thalamus','SC'
243,'L. caudal temporal thalamus','SC'
244,'R. caudal temporal thalamus','SC'
245,'L. lateral pre-frontal thalamus','SC'
246,'R. lateral pre-frontal thalamus','SC'
