Index,Name,Full_Name,Intensity,Space,Hemi,Region
1,RN_L,Left red nucleus,1,MNI,L,subcortex
2,RN_R,Right red nucleus,2,MNI,R,subcortex
3,SN_L,Left substantia nigra,3,MNI,L,subcortex
4,SN_R,Right Substantia nigra,4,MNI,R,subcortex
5,STN_L,Left subthalamic nucleus,5,MNI,L,subcortex
6,STN_R,Right subthalamic nucleus,6,MNI,R,subcortex
7,Caud_L,Left caudate,7,MNI,L,subcortex
8,Caud_R,Right caudate,8,MNI,R,subcortex
9,Put_L,Left putamen,9,MNI,L,subcortex
10,Put_R,Right putamen,10,MNI,R,subcortex
11,GPe_L,Left globus pallidus externa ,11,MNI,L,subcortex
12,GPe_R,Right globus pallidus externa ,12,MNI,R,subcortex
13,GPi_L,Left globus pallidus interna ,13,MNI,L,subcortex
14,GPi_R,Right globus pallidus interna ,14,MNI,R,subcortex
15,Thalam_L,Left thalamus,15,MNI,L,subcortex
16,Thalam_R,Right thalamus,16,MNI,R,subcortex
