Index,Node,Source
1,Lingual_L,AAL3_MNI
2,Lingual_R,AAL3_MNI
3,Occipital_Sup_L,AAL3_MNI
4,Occipital_Sup_R,AAL3_MNI
5,Occipital_Mid_L,AAL3_MNI
6,Occipital_Mid_R,AAL3_MNI
7,Occipital_Inf_L,AAL3_MNI
8,Occipital_Inf_R,AAL3_MNI
9,Fusiform_L,AAL3_MNI
10,Fusiform_R,AAL3_MNI
11,Postcentral_L,AAL3_MNI
12,Postcentral_R,AAL3_MNI
13,Left-Thalamus-Proper,destrieux_T1w
14,Left-Caudate,destrieux_T1w
15,Left-Putamen,destrieux_T1w
16,Left-Pallidum,destrieux_T1w
17,Left-Hippocampus,destrieux_T1w
18,Left-Amygdala,destrieux_T1w
19,Left-Accumbens-area,destrieux_T1w
20,Right-Thalamus-Proper,destrieux_T1w
21,Right-Caudate,destrieux_T1w
22,Right-Putamen,destrieux_T1w
23,Right-Pallidum,destrieux_T1w
24,Right-Hippocampus,destrieux_T1w
25,Right-Amygdala,destrieux_T1w
26,Right-Accumbens-area,destrieux_T1w
27,L_p24pr,hcpmmp_T1w
28,L_33pr,hcpmmp_T1w
29,L_a24pr,hcpmmp_T1w
30,L_p32pr,hcpmmp_T1w
31,L_a24,hcpmmp_T1w
32,L_d32,hcpmmp_T1w
33,L_8BM,hcpmmp_T1w
34,L_p32,hcpmmp_T1w
35,L_10r,hcpmmp_T1w
36,L_47m,hcpmmp_T1w
37,L_8Av,hcpmmp_T1w
38,L_8Ad,hcpmmp_T1w
39,Brain-Stem,hcpmmp_T1w
