Index,Name,Full_Name,Index,Space,Hemi,Region,R,A,S
1,SFG_L,SFG_L,1,MNI,L,cortex,-13,8,59
2,SFG_R,SFG_R,2,MNI,R,cortex,14,9,61
3,SFG_PFC_L,SFG_PFC_L,3,MNI,L,cortex,-11,50,26
4,SFG_PFC_R,SFG_PFC_R,4,MNI,R,cortex,11,47,33
5,SFG_pole_L,SFG_pole_L,5,MNI,L,cortex,-11,67,6
6,SFG_pole_R,SFG_pole_R,6,MNI,R,cortex,12,66,8
7,MFG_L,MFG_L,7,MNI,L,cortex,-36,15,42
8,MFG_R,MFG_R,8,MNI,R,cortex,37,18,42
9,MFG_DPFC_L,MFG_DPFC_L,9,MNI,L,cortex,-34,45,14
10,MFG_DPFC_R,MFG_DPFC_R,10,MNI,R,cortex,36,47,12
11,IFG_opercularis_L,IFG_opercularis_L,11,MNI,L,cortex,-46,11,16
12,IFG_opercularis_R,IFG_opercularis_R,12,MNI,R,cortex,49,16,14
13,IFG_orbitalis_L,IFG_orbitalis_L,13,MNI,L,cortex,-43,30,-5
14,IFG_orbitalis_R,IFG_orbitalis_R,14,MNI,R,cortex,45,31,-6
15,IFG_triangularis_L,IFG_triangularis_L,15,MNI,L,cortex,-47,26,10
16,IFG_triangularis_R,IFG_triangularis_R,16,MNI,R,cortex,47,27,8
17,LFOG_L,LFOG_L,17,MNI,L,cortex,-27,34,-15
18,LFOG_R,LFOG_R,18,MNI,R,cortex,28,37,-15
19,MFOG_L,MFOG_L,19,MNI,L,cortex,-13,37,-19
20,MFOG_R,MFOG_R,20,MNI,R,cortex,14,40,-18
21,RG_L,RG_L,21,MNI,L,cortex,-5,41,-12
22,RG_R,RG_R,22,MNI,R,cortex,6,40,-13
23,PoCG_L,PoCG_L,23,MNI,L,cortex,-38,-25,47
24,PoCG_R,PoCG_R,24,MNI,R,cortex,39,-21,45
25,PrCG_L,PrCG_L,25,MNI,L,cortex,-40,-7,40
26,PrCG_R,PrCG_R,26,MNI,R,cortex,40,-4,39
27,SPG_L,SPG_L,27,MNI,L,cortex,-25,-56,53
28,SPG_R,SPG_R,28,MNI,R,cortex,25,-53,58
29,SMG_L,SMG_L,29,MNI,L,cortex,-52,-33,33
30,SMG_R,SMG_R,30,MNI,R,cortex,53,-30,34
31,AG_L,AG_L,31,MNI,L,cortex,-43,-59,39
32,AG_R,AG_R,32,MNI,R,cortex,43,-57,38
33,PrCu_L,PrCu_L,33,MNI,L,cortex,-6,-63,47
34,PrCu_R,PrCu_R,34,MNI,R,cortex,8,-63,48
35,STG_L,STG_L,35,MNI,L,cortex,-52,-25,6
36,STG_R,STG_R,36,MNI,R,cortex,54,-22,4
37,STG_L_pole,STG_L_pole,37,MNI,L,cortex,-41,10,-21
38,STG_R_pole,STG_R_pole,38,MNI,R,cortex,41,13,-21
39,MTG_L,MTG_L,39,MNI,L,cortex,-56,-36,-4
40,MTG_R,MTG_R,40,MNI,R,cortex,57,-31,-5
41,MTG_L_pole,MTG_L_pole,41,MNI,L,cortex,-40,13,-35
42,MTG_R_pole,MTG_R_pole,42,MNI,R,cortex,41,14,-35
43,ITG_L,ITG_L,43,MNI,L,cortex,-48,-23,-28
44,ITG_R,ITG_R,44,MNI,R,cortex,49,-23,-27
45,PHG_L,PHG_L,45,MNI,L,cortex,-17,-27,-18
46,PHG_R,PHG_R,46,MNI,R,cortex,18,-29,-15
47,ENT_L,ENT_L,47,MNI,L,cortex,-18,-5,-30
48,ENT_R,ENT_R,48,MNI,R,cortex,19,-4,-30
49,FuG_L,FuG_L,49,MNI,L,cortex,-32,-47,-19
50,FuG_R,FuG_R,50,MNI,R,cortex,31,-44,-19
51,SOG_L,SOG_L,51,MNI,L,cortex,-17,-81,31
52,SOG_R,SOG_R,52,MNI,R,cortex,16,-81,32
53,MOG_L,MOG_L,53,MNI,L,cortex,-31,-84,12
54,MOG_R,MOG_R,54,MNI,R,cortex,32,-82,13
55,IOG_L,IOG_L,55,MNI,L,cortex,-40,-75,-7
56,IOG_R,IOG_R,56,MNI,R,cortex,41,-72,-7
57,Cu_L,Cu_L,57,MNI,L,cortex,-7,-82,15
58,Cu_R,Cu_R,58,MNI,R,cortex,9,-80,15
59,LG_L,LG_L,59,MNI,L,cortex,-11,-64,-2
60,LG_R,LG_R,60,MNI,R,cortex,12,-63,-1
61,rostral_ACC_L,rostral_ACC_L,61,MNI,L,cortex,-5,41,10
62,rostral_ACC_R,rostral_ACC_R,62,MNI,R,cortex,6,41,9
63,subcallosal_ACC_L,subcallosal_ACC_L,63,MNI,L,cortex,-3,30,-5
64,subcallosal_ACC_R,subcallosal_ACC_R,64,MNI,R,cortex,3,30,-6
65,subgenual_ACC_L,subgenual_ACC_L,65,MNI,L,cortex,-3,12,-9
66,subgenual_ACC_R,subgenual_ACC_R,66,MNI,R,cortex,-1,21,-4
67,dorsal_ACC_L,dorsal_ACC_L,67,MNI,L,cortex,-6,-3,39
68,dorsal_ACC_R,dorsal_ACC_R,68,MNI,R,cortex,6,0,39
69,PCC_L,PCC_L,69,MNI,L,cortex,-6,-51,26
70,PCC_R,PCC_R,70,MNI,R,cortex,8,-49,27
71,Insula_L,Insula_L,71,MNI,L,cortex,-35,4,0
72,Insula_R,Insula_R,72,MNI,R,cortex,36,6,0
73,Amyg_L,Amyg_L,73,MNI,L,subcortex,-21,-4,-20
74,Amyg_R,Amyg_R,74,MNI,R,subcortex,22,-3,-20
75,Hippo_L,Hippo_L,75,MNI,L,subcortex,-24,-23,-13
76,Hippo_R,Hippo_R,76,MNI,R,subcortex,26,-22,-13
77,Caud_L,Caud_L,77,MNI,L,subcortex,-12,9,8
78,Caud_R,Caud_R,78,MNI,R,subcortex,13,10,9
79,Put_L,Put_L,79,MNI,L,subcortex,-24,1,0
80,Put_R,Put_R,80,MNI,R,subcortex,25,2,0
81,GP_L,GP_L,81,MNI,L,subcortex,-20,-4,-1
82,GP_R,GP_R,82,MNI,R,subcortex,21,-3,-1
83,Thalamus_L,Thalamus_L,83,MNI,L,subcortex,-10,-19,6
84,Thalamus_R,Thalamus_R,84,MNI,R,subcortex,11,-18,5
85,HypoThalamus_L,HypoThalamus_L,85,MNI,L,subcortex,-3,-3,-9
86,HypoThalamus_R,HypoThalamus_R,86,MNI,R,subcortex,4,-3,-8
87,AnteriorBasalForebrain_L,AnteriorBasalForebrain_L,87,MNI,L,subcortex,-14,14,-11
88,AnteriorBasalForebrain_R,AnteriorBasalForebrain_R,88,MNI,R,subcortex,13,15,-11
89,NucAccumbens_L,NucAccumbens_L,89,MNI,L,subcortex,-10,7,-10
90,NucAccumbens_R,NucAccumbens_R,90,MNI,R,subcortex,10,8,-10
91,RedNc_L,RedNc_L,91,MNI,L,subcortex,-4,-19,-9
92,RedNc_R,RedNc_R,92,MNI,R,subcortex,5,-18,-9
93,Snigra_L,Snigra_L,93,MNI,L,subcortex,-10,-13,-5
94,Snigra_R,Snigra_R,94,MNI,R,subcortex,11,-11,-5
95,CerebellumGM_R,CerebellumGM_R,95,MNI,R,cerebellum,23,-61,-35
96,CerebellumGM_L,CerebellumGM_L,96,MNI,L,cerebellum,-22,-61,-35
97,CP_L,CP_L,97,MNI,L,whitematter,-13,-16,-11
98,CP_R,CP_R,98,MNI,R,whitematter,14,-16,-12
99,Midbrain_L,Midbrain_L,99,MNI,L,subcortex,-5,-23,-10
100,Midbrain_R,Midbrain_R,100,MNI,R,subcortex,5,-23,-9
101,CST_L,CST_L,101,MNI,L,whitematter,-5,-24,-30
102,CST_R,CST_R,102,MNI,R,whitematter,6,-24,-30
103,SCP_L,SCP_L,103,MNI,L,whitematter,-6,-36,-22
104,SCP_R,SCP_R,104,MNI,R,whitematter,6,-35,-20
105,MCP_L,MCP_L,105,MNI,L,whitematter,-11,-26,-35
106,MCP_R,MCP_R,106,MNI,R,whitematter,-1,-19,-31
107,PCT_L,PCT_L,107,MNI,L,whitematter,-5,-29,-28
108,PCT_R,PCT_R,108,MNI,R,whitematter,3,-28,-28
109,ICP_L,ICP_L,109,MNI,L,whitematter,-5,-42,-51
110,ICP_R,ICP_R,110,MNI,R,whitematter,6,-41,-52
111,ML_L,ML_L,111,MNI,L,whitematter,-5,-34,-33
112,ML_R,ML_R,112,MNI,R,whitematter,5,-34,-33
113,Pons_L,Pons_L,113,MNI,L,whitematter,-1,-36,-31
