Index,Name,Full_Name,Intensity,Space,Hemi,Region,R,A,S
1,L.BSTS,ctx-lh-bankssts,1,T1w,L,cortex,-54.343785,-44.539029,4.163784
2,L.CACG,ctx-lh-caudalanteriorcingulate,2,T1w,L,cortex,-5.030493,20.08797,28.999343
3,L.CMFG,ctx-lh-caudalmiddlefrontal,3,T1w,L,cortex,-35.521824,10.809538,44.190969
4,L.CU,ctx-lh-cuneus,4,T1w,L,cortex,-7.126394,-79.633054,18.510034
5,L.EC,ctx-lh-entorhinal,5,T1w,L,cortex,-22.998997,-7.87775,-35.210045
6,L.FG,ctx-lh-fusiform,6,T1w,L,cortex,-35.141396,-43.474374,-22.012104
7,L.IPG,ctx-lh-inferiorparietal,7,T1w,L,cortex,-40.934987,-67.711257,28.124042
8,L.ITG,ctx-lh-inferiortemporal,8,T1w,L,cortex,-49.601517,-34.703196,-25.261257
9,L.ICG,ctx-lh-isthmuscingulate,9,T1w,L,cortex,-6.62424,-47.248045,16.969356
10,L.LOG,ctx-lh-lateraloccipital,10,T1w,L,cortex,-30.075425,-88.498214,-1.523382
11,L.LOFG,ctx-lh-lateralorbitofrontal,11,T1w,L,cortex,-24.788431,28.715777,-16.968762
12,L.LG,ctx-lh-lingual,12,T1w,L,cortex,-14.506283,-67.608044,-5.063883
13,L.MOFG,ctx-lh-medialorbitofrontal,13,T1w,L,cortex,-5.406928,36.933371,-18.001864
14,L.MTG,ctx-lh-middletemporal,14,T1w,L,cortex,-57.751067,-30.2239,-13.290262
15,L.PHIG,ctx-lh-parahippocampal,15,T1w,L,cortex,-23.907604,-33.142327,-19.249481
16,L.PaCG,ctx-lh-paracentral,16,T1w,L,cortex,-7.897553,-29.735224,56.120347
17,L.POP,ctx-lh-parsopercularis,17,T1w,L,cortex,-45.746763,14.555066,11.852166
18,L.POR,ctx-lh-parsorbitalis,18,T1w,L,cortex,-42.510831,38.551743,-14.105952
19,L.PTR,ctx-lh-parstriangularis,19,T1w,L,cortex,-44.017232,30.266616,0.805347
20,L.PCAL,ctx-lh-pericalcarine,20,T1w,L,cortex,-11.765939,-81.490718,5.367253
21,L.PoCG,ctx-lh-postcentral,21,T1w,L,cortex,-43.230818,-23.574863,43.947822
22,L.PCG,ctx-lh-posteriorcingulate,22,T1w,L,cortex,-5.70153,-18.390072,38.473745
23,L.PrCG,ctx-lh-precentral,23,T1w,L,cortex,-38.791732,-10.412277,42.973217
24,L.PCU,ctx-lh-precuneus,24,T1w,L,cortex,-9.690527,-58.233298,36.662633
25,L.RACG,ctx-lh-rostralanteriorcingulate,25,T1w,L,cortex,-4.385862,37.523613,-0.212297
26,L.RMFG,ctx-lh-rostralmiddlefrontal,26,T1w,L,cortex,-33.210735,42.7154,16.838418
27,L.SFG,ctx-lh-superiorfrontal,27,T1w,L,cortex,-11.379796,24.090999,43.374715
28,L.SPG,ctx-lh-superiorparietal,28,T1w,L,cortex,-23.409777,-61.788495,47.827327
29,L.STG,ctx-lh-superiortemporal,29,T1w,L,cortex,-53.401526,-15.660875,-4.006122
30,L.SMG,ctx-lh-supramarginal,30,T1w,L,cortex,-52.06073,-39.127553,31.482408
31,L.FP,ctx-lh-frontalpole,31,T1w,L,cortex,-6.785115,64.865577,-11.499812
32,L.TP,ctx-lh-temporalpole,32,T1w,L,cortex,-29.311423,12.899209,-38.046768
33,L.TTG,ctx-lh-transversetemporal,33,T1w,L,cortex,-44.47453,-22.679342,7.332593
34,L.IN,ctx-lh-insula,34,T1w,L,cortex,-37.13713,-3.504331,1.690092
35,L.CER,Left-Cerebellum-Cortex,35,T1w,L,cerebellum,-16,-57,-34
36,L.TH,Left-Thalamus-Proper,36,T1w,L,subcortex,-11,-18,8
37,L.CA,Left-Caudate,37,T1w,L,subcortex,-11,11,9
38,L.PU,Left-Putamen,38,T1w,L,subcortex,-24,4,2
39,L.PA,Left-Pallidum,39,T1w,L,subcortex,-18,0,0
40,L.HI,Left-Hippocampus,40,T1w,L,subcortex,-25,-21,-10
41,L.AM,Left-Amygdala,41,T1w,L,subcortex,-23,-1,-17
42,L.AC,Left-Accumbens-area,42,T1w,L,subcortex,-10,7,-10
43,R.TH,Right-Thalamus-Proper,43,T1w,R,subcortex,13,-18,8
44,R.CA,Right-Caudate,44,T1w,R,subcortex,15,12,9
45,R.PU,Right-Putamen,45,T1w,R,subcortex,28,5,2
46,R.PA,Right-Pallidum,46,T1w,R,subcortex,21,0,0
47,R.HI,Right-Hippocampus,47,T1w,R,subcortex,29,-20,-10
48,R.AM,Right-Amygdala,48,T1w,R,subcortex,27,1,-18
49,R.AC,Right-Accumbens-area,49,T1w,R,subcortex,10,8,-10
50,R.BSTS,ctx-rh-bankssts,50,T1w,R,cortex,52.97561,-40.553816,5.303675
51,R.CACG,ctx-rh-caudalanteriorcingulate,51,T1w,R,cortex,5.012041,22.2581,27.639678
52,R.CMFG,ctx-rh-caudalmiddlefrontal,52,T1w,R,cortex,35.661664,12.293548,44.471424
53,R.CU,ctx-rh-cuneus,53,T1w,R,cortex,7.165208,-80.094411,19.16136
54,R.EC,ctx-rh-entorhinal,54,T1w,R,cortex,22.762408,-7.619649,-34.077827
55,R.FG,ctx-rh-fusiform,55,T1w,R,cortex,35.323007,-43.239303,-21.599235
56,R.IPG,ctx-rh-inferiorparietal,56,T1w,R,cortex,44.34569,-61.781892,28.633137
57,R.ITG,ctx-rh-inferiortemporal,57,T1w,R,cortex,50.781852,-31.732182,-26.194109
58,R.ICG,ctx-rh-isthmuscingulate,58,T1w,R,cortex,7.091746,-46.16338,16.740261
59,R.LOG,ctx-rh-lateraloccipital,59,T1w,R,cortex,31.117596,-87.943778,-0.457613
60,R.LOFG,ctx-rh-lateralorbitofrontal,60,T1w,R,cortex,24.236422,29.349355,-17.996568
61,R.LG,ctx-rh-lingual,61,T1w,R,cortex,14.746014,-66.769025,-4.325692
62,R.MOFG,ctx-rh-medialorbitofrontal,62,T1w,R,cortex,5.859795,37.568028,-16.583859
63,R.MTG,ctx-rh-middletemporal,63,T1w,R,cortex,58.170481,-27.920889,-13.563721
64,R.PHIG,ctx-rh-parahippocampal,64,T1w,R,cortex,25.382203,-33.021476,-18.144719
65,R.PaCG,ctx-rh-paracentral,65,T1w,R,cortex,7.827022,-28.582297,55.544456
66,R.POP,ctx-rh-parsopercularis,66,T1w,R,cortex,46.526088,14.243186,13.378662
67,R.POR,ctx-rh-parsorbitalis,67,T1w,R,cortex,44.123201,39.162297,-11.985981
68,R.PTR,ctx-rh-parstriangularis,68,T1w,R,cortex,46.623897,29.45939,3.342318
69,R.PCAL,ctx-rh-pericalcarine,69,T1w,R,cortex,12.515956,-80.239169,6.009491
70,R.PoCG,ctx-rh-postcentral,70,T1w,R,cortex,42.365002,-22.476359,44.557213
71,R.PCG,ctx-rh-posteriorcingulate,71,T1w,R,cortex,5.685813,-17.196104,38.859022
72,R.PrCG,ctx-rh-precentral,72,T1w,R,cortex,37.897994,-9.813155,44.547376
73,R.PCU,ctx-rh-precuneus,73,T1w,R,cortex,9.636033,-57.31006,37.845502
74,R.RACG,ctx-rh-rostralanteriorcingulate,74,T1w,R,cortex,5.367839,37.109173,1.676762
75,R.RMFG,ctx-rh-rostralmiddlefrontal,75,T1w,R,cortex,33.96575,42.836306,17.683447
76,R.SFG,ctx-rh-superiorfrontal,76,T1w,R,cortex,12.193157,25.698054,43.075713
77,R.SPG,ctx-rh-superiorparietal,77,T1w,R,cortex,23.192057,-60.478712,49.691973
