Index,Name,Full_Name,Intensity,Space,Hemi,Region
1,ctx_lh_G_and_S_frontomargin,ctx_lh_G_and_S_frontomargin,1,T1w,L,cortex
2,ctx_lh_G_and_S_occipital_inf,ctx_lh_G_and_S_occipital_inf,2,T1w,L,cortex
3,ctx_lh_G_and_S_paracentral,ctx_lh_G_and_S_paracentral,3,T1w,L,cortex
4,ctx_lh_G_and_S_subcentral,ctx_lh_G_and_S_subcentral,4,T1w,L,cortex
5,ctx_lh_G_and_S_transv_frontopol,ctx_lh_G_and_S_transv_frontopol,5,T1w,L,cortex
6,ctx_lh_G_and_S_cingul-Ant,ctx_lh_G_and_S_cingul-Ant,6,T1w,L,cortex
7,ctx_lh_G_and_S_cingul-Mid-Ant,ctx_lh_G_and_S_cingul-Mid-Ant,7,T1w,L,cortex
8,ctx_lh_G_and_S_cingul-Mid-Post,ctx_lh_G_and_S_cingul-Mid-Post,8,T1w,L,cortex
9,ctx_lh_G_cingul-Post-dorsal,ctx_lh_G_cingul-Post-dorsal,9,T1w,L,cortex
10,ctx_lh_G_cingul-Post-ventral,ctx_lh_G_cingul-Post-ventral,10,T1w,L,cortex
11,ctx_lh_G_cuneus,ctx_lh_G_cuneus,11,T1w,L,cortex
12,ctx_lh_G_front_inf-Opercular,ctx_lh_G_front_inf-Opercular,12,T1w,L,cortex
13,ctx_lh_G_front_inf-Orbital,ctx_lh_G_front_inf-Orbital,13,T1w,L,cortex
14,ctx_lh_G_front_inf-Triangul,ctx_lh_G_front_inf-Triangul,14,T1w,L,cortex
15,ctx_lh_G_front_middle,ctx_lh_G_front_middle,15,T1w,L,cortex
16,ctx_lh_G_front_sup,ctx_lh_G_front_sup,16,T1w,L,cortex
17,ctx_lh_G_Ins_lg_and_S_cent_ins,ctx_lh_G_Ins_lg_and_S_cent_ins,17,T1w,L,cortex
18,ctx_lh_G_insular_short,ctx_lh_G_insular_short,18,T1w,L,cortex
19,ctx_lh_G_occipital_middle,ctx_lh_G_occipital_middle,19,T1w,L,cortex
20,ctx_lh_G_occipital_sup,ctx_lh_G_occipital_sup,20,T1w,L,cortex
21,ctx_lh_G_oc-temp_lat-fusifor,ctx_lh_G_oc-temp_lat-fusifor,21,T1w,L,cortex
22,ctx_lh_G_oc-temp_med-Lingual,ctx_lh_G_oc-temp_med-Lingual,22,T1w,L,cortex
23,ctx_lh_G_oc-temp_med-Parahip,ctx_lh_G_oc-temp_med-Parahip,23,T1w,L,cortex
24,ctx_lh_G_orbital,ctx_lh_G_orbital,24,T1w,L,cortex
25,ctx_lh_G_pariet_inf-Angular,ctx_lh_G_pariet_inf-Angular,25,T1w,L,cortex
26,ctx_lh_G_pariet_inf-Supramar,ctx_lh_G_pariet_inf-Supramar,26,T1w,L,cortex
27,ctx_lh_G_parietal_sup,ctx_lh_G_parietal_sup,27,T1w,L,cortex
28,ctx_lh_G_postcentral,ctx_lh_G_postcentral,28,T1w,L,cortex
29,ctx_lh_G_precentral,ctx_lh_G_precentral,29,T1w,L,cortex
30,ctx_lh_G_precuneus,ctx_lh_G_precuneus,30,T1w,L,cortex
31,ctx_lh_G_rectus,ctx_lh_G_rectus,31,T1w,L,cortex
32,ctx_lh_G_subcallosal,ctx_lh_G_subcallosal,32,T1w,L,cortex
33,ctx_lh_G_temp_sup-G_T_transv,ctx_lh_G_temp_sup-G_T_transv,33,T1w,L,cortex
34,ctx_lh_G_temp_sup-Lateral,ctx_lh_G_temp_sup-Lateral,34,T1w,L,cortex
35,ctx_lh_G_temp_sup-Plan_polar,ctx_lh_G_temp_sup-Plan_polar,35,T1w,L,cortex
36,ctx_lh_G_temp_sup-Plan_tempo,ctx_lh_G_temp_sup-Plan_tempo,36,T1w,L,cortex
37,ctx_lh_G_temporal_inf,ctx_lh_G_temporal_inf,37,T1w,L,cortex
38,ctx_lh_G_temporal_middle,ctx_lh_G_temporal_middle,38,T1w,L,cortex
39,ctx_lh_Lat_Fis-ant-Horizont,ctx_lh_Lat_Fis-ant-Horizont,39,T1w,L,cortex
40,ctx_lh_Lat_Fis-ant-Vertical,ctx_lh_Lat_Fis-ant-Vertical,40,T1w,L,cortex
41,ctx_lh_Lat_Fis-post,ctx_lh_Lat_Fis-post,41,T1w,L,cortex
42,ctx_lh_Pole_occipital,ctx_lh_Pole_occipital,42,T1w,L,cortex
43,ctx_lh_Pole_temporal,ctx_lh_Pole_temporal,43,T1w,L,cortex
