Index,Name,Full_Name,Intensity,Space,Hemi
1,LH_Vis_1,LH_Vis_1,1,MNI,L
2,LH_Vis_2,LH_Vis_2,2,MNI,L
3,LH_Vis_3,LH_Vis_3,3,MNI,L
4,LH_Vis_4,LH_Vis_4,4,MNI,L
5,LH_Vis_5,LH_Vis_5,5,MNI,L
6,LH_Vis_6,LH_Vis_6,6,MNI,L
7,LH_Vis_7,LH_Vis_7,7,MNI,L
8,LH_Vis_8,LH_Vis_8,8,MNI,L
9,LH_Vis_9,LH_Vis_9,9,MNI,L
10,LH_Vis_10,LH_Vis_10,10,MNI,L
11,LH_Vis_11,LH_Vis_11,11,MNI,L
12,LH_Vis_12,LH_Vis_12,12,MNI,L
13,LH_Vis_13,LH_Vis_13,13,MNI,L
14,LH_Vis_14,LH_Vis_14,14,MNI,L
15,LH_SomMot_1,LH_SomMot_1,15,MNI,L
16,LH_SomMot_2,LH_SomMot_2,16,MNI,L
17,LH_SomMot_3,LH_SomMot_3,17,MNI,L
18,LH_SomMot_4,LH_SomMot_4,18,MNI,L
19,LH_SomMot_5,LH_SomMot_5,19,MNI,L
20,LH_SomMot_6,LH_SomMot_6,20,MNI,L
21,LH_SomMot_7,LH_SomMot_7,21,MNI,L
22,LH_SomMot_8,LH_SomMot_8,22,MNI,L
23,LH_SomMot_9,LH_SomMot_9,23,MNI,L
24,LH_SomMot_10,LH_SomMot_10,24,MNI,L
25,LH_SomMot_11,LH_SomMot_11,25,MNI,L
26,LH_SomMot_12,LH_SomMot_12,26,MNI,L
27,LH_SomMot_13,LH_SomMot_13,27,MNI,L
28,LH_SomMot_14,LH_SomMot_14,28,MNI,L
29,LH_SomMot_15,LH_SomMot_15,29,MNI,L
30,LH_SomMot_16,LH_SomMot_16,30,MNI,L
31,LH_DorsAttn_Post_1,LH_DorsAttn_Post_1,31,MNI,L
32,LH_DorsAttn_Post_2,LH_DorsAttn_Post_2,32,MNI,L
33,LH_DorsAttn_Post_3,LH_DorsAttn_Post_3,33,MNI,L
34,LH_DorsAttn_Post_4,LH_DorsAttn_Post_4,34,MNI,L
35,LH_DorsAttn_Post_5,LH_DorsAttn_Post_5,35,MNI,L
36,LH_DorsAttn_Post_6,LH_DorsAttn_Post_6,36,MNI,L
37,LH_DorsAttn_Post_7,LH_DorsAttn_Post_7,37,MNI,L
38,LH_DorsAttn_Post_8,LH_DorsAttn_Post_8,38,MNI,L
39,LH_DorsAttn_Post_9,LH_DorsAttn_Post_9,39,MNI,L
40,LH_DorsAttn_Post_10,LH_DorsAttn_Post_10,40,MNI,L
41,LH_DorsAttn_FEF_1,LH_DorsAttn_FEF_1,41,MNI,L
42,LH_DorsAttn_FEF_2,LH_DorsAttn_FEF_2,42,MNI,L
43,LH_DorsAttn_PrCv_1,LH_DorsAttn_PrCv_1,43,MNI,L
44,LH_SalVentAttn_ParOper_1,LH_SalVentAttn_ParOper_1,44,MNI,L
45,LH_SalVentAttn_ParOper_2,LH_SalVentAttn_ParOper_2,45,MNI,L
46,LH_SalVentAttn_ParOper_3,LH_SalVentAttn_ParOper_3,46,MNI,L
47,LH_SalVentAttn_FrOperIns_1,LH_SalVentAttn_FrOperIns_1,47,MNI,L
48,LH_SalVentAttn_FrOperIns_2,LH_SalVentAttn_FrOperIns_2,48,MNI,L
49,LH_SalVentAttn_FrOperIns_3,LH_SalVentAttn_FrOperIns_3,49,MNI,L
50,LH_SalVentAttn_FrOperIns_4,LH_SalVentAttn_FrOperIns_4,50,MNI,L
51,LH_SalVentAttn_PFCl_1,LH_SalVentAttn_PFCl_1,51,MNI,L
52,LH_SalVentAttn_Med_1,LH_SalVentAttn_Med_1,52,MNI,L
53,LH_SalVentAttn_Med_2,LH_SalVentAttn_Med_2,53,MNI,L
54,LH_SalVentAttn_Med_3,LH_SalVentAttn_Med_3,54,MNI,L
55,LH_Limbic_OFC_1,LH_Limbic_OFC_1,55,MNI,L
56,LH_Limbic_OFC_2,LH_Limbic_OFC_2,56,MNI,L
57,LH_Limbic_TempPole_1,LH_Limbic_TempPole_1,57,MNI,L
58,LH_Limbic_TempPole_2,LH_Limbic_TempPole_2,58,MNI,L
59,LH_Limbic_TempPole_3,LH_Limbic_TempPole_3,59,MNI,L
60,LH_Limbic_TempPole_4,LH_Limbic_TempPole_4,60,MNI,L
61,LH_Cont_Par_1,LH_Cont_Par_1,61,MNI,L
62,LH_Cont_Par_2,LH_Cont_Par_2,62,MNI,L
63,LH_Cont_Par_3,LH_Cont_Par_3,63,MNI,L
64,LH_Cont_Temp_1,LH_Cont_Temp_1,64,MNI,L
65,LH_Cont_OFC_1,LH_Cont_OFC_1,65,MNI,L
66,LH_Cont_PFCl_1,LH_Cont_PFCl_1,66,MNI,L
67,LH_Cont_PFCl_2,LH_Cont_PFCl_2,67,MNI,L
68,LH_Cont_PFCl_3,LH_Cont_PFCl_3,68,MNI,L
69,LH_Cont_PFCl_4,LH_Cont_PFCl_4,69,MNI,L
70,LH_Cont_PFCl_5,LH_Cont_PFCl_5,70,MNI,L
71,LH_Cont_pCun_1,LH_Cont_pCun_1,71,MNI,L
72,LH_Cont_Cing_1,LH_Cont_Cing_1,72,MNI,L
73,LH_Cont_Cing_2,LH_Cont_Cing_2,73,MNI,L
74,LH_Default_Temp_1,LH_Default_Temp_1,74,MNI,L
75,LH_Default_Temp_2,LH_Default_Temp_2,75,MNI,L
76,LH_Default_Temp_3,LH_Default_Temp_3,76,MNI,L
77,LH_Default_Temp_4,LH_Default_Temp_4,77,MNI,L
78,LH_Default_Temp_5,LH_Default_Temp_5,78,MNI,L
79,LH_Default_Par_1,LH_Default_Par_1,79,MNI,L
80,LH_Default_Par_2,LH_Default_Par_2,80,MNI,L
81,LH_Default_Par_3,LH_Default_Par_3,81,MNI,L
82,LH_Default_Par_4,LH_Default_Par_4,82,MNI,L
83,LH_Default_PFC_1,LH_Default_PFC_1,83,MNI,L
84,LH_Default_PFC_2,LH_Default_PFC_2,84,MNI,L
85,LH_Default_PFC_3,LH_Default_PFC_3,85,MNI,L
86,LH_Default_PFC_4,LH_Default_PFC_4,86,MNI,L
87,LH_Default_PFC_5,LH_Default_PFC_5,87,MNI,L
88,LH_Default_PFC_6,LH_Default_PFC_6,88,MNI,L
89,LH_Default_PFC_7,LH_Default_PFC_7,89,MNI,L
90,LH_Default_PFC_8,LH_Default_PFC_8,90,MNI,L
91,LH_Default_PFC_9,LH_Default_PFC_9,91,MNI,L
92,LH_Default_PFC_10,LH_Default_PFC_10,92,MNI,L
