Index,Name,Full_Name,Intensity,Space,Hemi,Region,ICN,R,A,S
1,LH_Vis_1,LH_Vis_1,1,T1w,L,cortex,Vis,-24,-54,-10
2,LH_Vis_2,LH_Vis_2,2,T1w,L,cortex,Vis,-26,-78,-14
3,LH_Vis_3,LH_Vis_3,3,T1w,L,cortex,Vis,-46,-70,-8
4,LH_Vis_4,LH_Vis_4,4,T1w,L,cortex,Vis,-10,-68,-4
5,LH_Vis_5,LH_Vis_5,5,T1w,L,cortex,Vis,-26,-96,-12
6,LH_Vis_6,LH_Vis_6,6,T1w,L,cortex,Vis,-14,-44,-2
7,LH_Vis_7,LH_Vis_7,7,T1w,L,cortex,Vis,-6,-92,-4
8,LH_Vis_8,LH_Vis_8,8,T1w,L,cortex,Vis,-48,-70,10
9,LH_Vis_9,LH_Vis_9,9,T1w,L,cortex,Vis,-22,-96,6
10,LH_Vis_10,LH_Vis_10,10,T1w,L,cortex,Vis,-12,-70,8
11,LH_Vis_11,LH_Vis_11,11,T1w,L,cortex,Vis,-40,-84,10
12,LH_Vis_12,LH_Vis_12,12,T1w,L,cortex,Vis,-12,-72,22
13,LH_Vis_13,LH_Vis_13,13,T1w,L,cortex,Vis,-6,-88,28
14,LH_Vis_14,LH_Vis_14,14,T1w,L,cortex,Vis,-24,-88,24
15,LH_SomMot_1,LH_SomMot_1,15,T1w,L,cortex,SomMot,-50,-4,-2
16,LH_SomMot_2,LH_SomMot_2,16,T1w,L,cortex,SomMot,-54,-24,10
17,LH_SomMot_3,LH_SomMot_3,17,T1w,L,cortex,SomMot,-36,-22,16
18,LH_SomMot_4,LH_SomMot_4,18,T1w,L,cortex,SomMot,-56,-4,10
19,LH_SomMot_5,LH_SomMot_5,19,T1w,L,cortex,SomMot,-52,-22,18
20,LH_SomMot_6,LH_SomMot_6,20,T1w,L,cortex,SomMot,-56,-8,30
21,LH_SomMot_7,LH_SomMot_7,21,T1w,L,cortex,SomMot,-48,-8,46
22,LH_SomMot_8,LH_SomMot_8,22,T1w,L,cortex,SomMot,-8,-12,46
23,LH_SomMot_9,LH_SomMot_9,23,T1w,L,cortex,SomMot,-48,-28,56
24,LH_SomMot_10,LH_SomMot_10,24,T1w,L,cortex,SomMot,-40,-26,56
25,LH_SomMot_11,LH_SomMot_11,25,T1w,L,cortex,SomMot,-30,-46,62
