Index,Name,Full_Name,Intensity,Space,Hemi,Region,ICN,R,A,S
1,LH_Vis_1,LH_Vis_1,1,MNI,L,cortex,Vis,-32,-42,-20
2,LH_Vis_2,LH_Vis_2,2,MNI,L,cortex,Vis,-30,-32,-18
3,LH_Vis_3,LH_Vis_3,3,MNI,L,cortex,Vis,-36,-62,-16
4,LH_Vis_4,LH_Vis_4,4,MNI,L,cortex,Vis,-24,-54,-8
5,LH_Vis_5,LH_Vis_5,5,MNI,L,cortex,Vis,-24,-72,-10
6,LH_Vis_6,LH_Vis_6,6,MNI,L,cortex,Vis,-36,-82,-16
7,LH_Vis_7,LH_Vis_7,7,MNI,L,cortex,Vis,-18,-38,-12
8,LH_Vis_8,LH_Vis_8,8,MNI,L,cortex,Vis,-46,-70,-8
9,LH_Vis_9,LH_Vis_9,9,MNI,L,cortex,Vis,-16,-86,-16
10,LH_Vis_10,LH_Vis_10,10,MNI,L,cortex,Vis,-12,-62,-4
11,LH_Vis_11,LH_Vis_11,11,MNI,L,cortex,Vis,-6,-76,-6
12,LH_Vis_12,LH_Vis_12,12,MNI,L,cortex,Vis,-24,-96,-12
13,LH_Vis_13,LH_Vis_13,13,MNI,L,cortex,Vis,-14,-44,-6
14,LH_Vis_14,LH_Vis_14,14,MNI,L,cortex,Vis,-42,-86,-4
15,LH_Vis_15,LH_Vis_15,15,MNI,L,cortex,Vis,-8,-98,-8
16,LH_Vis_16,LH_Vis_16,16,MNI,L,cortex,Vis,-14,-56,2
17,LH_Vis_17,LH_Vis_17,17,MNI,L,cortex,Vis,-46,-74,6
18,LH_Vis_18,LH_Vis_18,18,MNI,L,cortex,Vis,-4,-88,2
19,LH_Vis_19,LH_Vis_19,19,MNI,L,cortex,Vis,-24,-96,6
20,LH_Vis_20,LH_Vis_20,20,MNI,L,cortex,Vis,-14,-48,4
21,LH_Vis_21,LH_Vis_21,21,MNI,L,cortex,Vis,-8,-74,10
22,LH_Vis_22,LH_Vis_22,22,MNI,L,cortex,Vis,-18,-64,6
23,LH_Vis_23,LH_Vis_23,23,MNI,L,cortex,Vis,-40,-84,14
24,LH_Vis_24,LH_Vis_24,24,MNI,L,cortex,Vis,-10,-96,18
25,LH_Vis_25,LH_Vis_25,25,MNI,L,cortex,Vis,-2,-84,24
26,LH_Vis_26,LH_Vis_26,26,MNI,L,cortex,Vis,-12,-72,20
27,LH_Vis_27,LH_Vis_27,27,MNI,L,cortex,Vis,-26,-84,22
28,LH_Vis_28,LH_Vis_28,28,MNI,L,cortex,Vis,-32,-84,26
29,LH_Vis_29,LH_Vis_29,29,MNI,L,cortex,Vis,-16,-88,34
30,LH_Vis_30,LH_Vis_30,30,MNI,L,cortex,Vis,-12,-82,36
31,LH_Vis_31,LH_Vis_31,31,MNI,L,cortex,Vis,-22,-78,44
32,LH_SomMot_1,LH_SomMot_1,32,MNI,L,cortex,SomMot,-50,-10,0
33,LH_SomMot_2,LH_SomMot_2,33,MNI,L,cortex,SomMot,-56,-22,8
34,LH_SomMot_3,LH_SomMot_3,34,MNI,L,cortex,SomMot,-36,-24,10
35,LH_SomMot_4,LH_SomMot_4,35,MNI,L,cortex,SomMot,-38,-8,12
36,LH_SomMot_5,LH_SomMot_5,36,MNI,L,cortex,SomMot,-36,-26,18
37,LH_SomMot_6,LH_SomMot_6,37,MNI,L,cortex,SomMot,-58,-36,16
38,LH_SomMot_7,LH_SomMot_7,38,MNI,L,cortex,SomMot,-40,-36,14
39,LH_SomMot_8,LH_SomMot_8,39,MNI,L,cortex,SomMot,-48,-12,14
